DBN,school_name,math_score,reading_score,writing_score
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,382,372,375
11X542,PELHAM PREPARATORY ACADEMY,438,431,419
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,378,383,365
11X545,BRONX AEROSPACE HIGH SCHOOL,393,388,382
12X245,NEW DAY ACADEMY,344,348,354
12X248,"METROPOLITAN HIGH SCHOOL, THE",367,347,341
12X251,EXPLORATIONS ACADEMY,381,381,360
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,353,361,360
12X267,BRONX LATIN,432,408,411
12X271,EAST BRONX ACADEMY FOR THE FUTURE,378,366,358
12X278,PEACE AND DIVERSITY ACADEMY,401,390,364
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,351,321,298
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,s
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,372,380,349
12X478,THE CINEMA SCHOOL,s,s,s
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,385,398,398
12X550,HIGH SCHOOL OF WORLD CULTURES,323,304,312
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,346,342,341
12X684,WINGS ACADEMY,374,378,362
12X690,MONROE ACADEMY FOR BUSINESS/LAW,387,375,376
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,357,332,349
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,349,352,373
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,374,439,418
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,364,360,356
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",355,375,384
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",417,399,395
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,659,587,587
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,364,305,312
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,417,400,389
13K499,ACORN COMMUNITY HIGH SCHOOL,364,384,368
13K509,FREEDOM ACADEMY HIGH SCHOOL,390,400,403
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,383,435,379
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,391,398,394
13K595,BEDFORD ACADEMY HIGH SCHOOL,443,438,431
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,391,406,392
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,472,471,448
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",499,441,413
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,361,365,359
14K322,FOUNDATIONS ACADEMY,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,357,387,381
14K449,"BROOKLYN LATIN SCHOOL, THE",584,586,570
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,386,407,396
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,379,364,371
14K477,SCHOOL FOR LEGAL STUDIES,396,413,395
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",421,398,396
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,373,367,350
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,385,363,364
14K561,WILLIAMSBURG PREPARATORY SCHOOL,410,397,380
14K586,LYONS COMMUNITY SCHOOL,377,371,355
14K610,AUTOMOTIVE HIGH SCHOOL,376,367,350
14K632,FRANCES PERKINS ACADEMY,372,382,368
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,335,359,341
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,367,361,383
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,399,393,387
15K462,SECONDARY SCHOOL FOR LAW,411,398,394
15K463,SECONDARY SCHOOL FOR JOURNALISM,391,397,381
15K464,PARK SLOPE COLLEGIATE,416,379,380
15K497,SCHOOL FOR INTERNATIONAL STUDIES,415,405,392
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,402,398,385
15K520,PACIFIC HIGH SCHOOL,341,352,300
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,365,368,368
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,421,426,411
15K667,SUNSET PARK HIGH SCHOOL,s,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,416,430,425
